 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
3273,293.863,329.195,311.506,317.752,320.871,306.391,315.839,322.143,327.092,322.895,325.828,320.446
3274,293.571,329.011,311.473,317.524,320.793,306.252,316.427,322.222,326.978,321.964,325.586,321.124
3275,293.502,328.615,312.358,317.282,320.919,305.835,316.861,322.499,326.693,321.283,325.259,321.700
3276,293.760,327.843,313.475,316.929,321.216,305.323,316.654,322.568,326.218,321.185,324.952,321.884
3277,294.049,327.108,314.165,316.432,321.212,305.122,315.941,322.064,325.805,321.678,324.596,321.285
3278,293.769,326.875,314.384,316.265,320.880,305.193,315.402,321.480,325.753,322.340,324.293,320.191
3279,293.289,326.867,314.289,316.646,320.670,305.543,315.400,321.248,326.015,322.823,324.255,319.367
3280,293.459,326.518,314.135,317.194,321.176,306.276,315.939,321.422,326.445,323.225,324.420,319.292
3281,294.505,325.995,314.126,317.697,322.356,307.552,316.639,322.030,326.811,323.507,324.582,319.592
3282,295.614,325.583,313.890,318.432,323.521,309.189,316.800,322.825,327.147,323.360,324.707,319.884
3283,296.033,325.425,313.165,319.493,324.293,310.694,316.727,323.321,327.253,322.929,324.733,319.921
3284,295.711,325.434,312.448,320.643,324.957,311.832,316.876,323.364,327.015,322.568,324.723,320.281
3285,295.064,325.482,312.201,321.918,325.767,312.656,317.532,322.978,326.786,322.859,324.464,321.094
3286,294.581,325.545,312.296,323.014,326.686,313.201,318.461,322.548,326.900,323.514,324.069,321.730
3287,294.234,325.650,312.415,323.194,327.552,313.450,319.356,322.306,327.329,323.855,323.863,321.678
3288,293.903,325.726,312.545,322.527,328.127,313.493,319.939,322.338,327.445,323.357,324.074,321.255
3289,293.660,325.550,312.744,321.793,328.097,313.286,320.188,322.806,326.998,322.445,324.637,321.015
3290,293.647,325.043,313.148,321.116,327.598,312.785,320.283,323.574,326.455,321.845,325.075,320.985
3291,294.006,324.461,313.711,320.224,327.169,312.451,320.151,324.150,326.100,321.957,325.170,320.854
3292,294.359,324.374,314.069,319.554,327.051,312.668,319.812,324.103,325.740,322.616,324.932,320.491
