 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
96,697.634,665.675,690.098,670.639,685.544,728.457,704.373,688.382,696.255,694.569,702.674,684.316,694.964,676.191,668.208,689.097
97,697.222,664.909,690.463,670.761,685.330,728.192,704.244,688.618,697.134,694.507,702.010,684.285,696.114,677.128,667.993,689.403
98,696.099,663.698,690.949,671.008,685.533,728.112,704.209,688.293,698.844,694.039,701.399,685.081,697.544,677.480,667.706,689.535
99,694.696,662.749,690.942,671.056,686.115,727.869,704.735,687.695,700.372,693.830,701.488,686.087,698.915,676.842,667.156,689.194
100,693.747,662.481,690.115,670.584,686.880,727.168,705.474,686.919,700.703,694.086,702.128,686.594,699.851,675.612,666.528,688.694
101,693.878,662.447,689.103,669.958,687.765,726.175,706.016,686.042,699.988,694.362,702.919,686.919,700.117,674.990,666.208,688.483
102,695.068,662.262,688.610,669.828,688.472,725.274,706.376,685.382,698.988,694.360,703.614,687.724,699.776,675.273,666.015,688.847
103,696.662,661.975,688.766,670.170,688.722,724.799,706.695,685.429,698.073,694.318,703.990,689.272,699.342,675.727,666.007,689.319
104,697.625,661.572,688.988,670.714,688.490,724.916,707.146,686.197,697.703,694.579,703.815,691.121,699.085,675.875,666.405,689.087
105,697.364,661.055,688.907,671.045,687.824,725.611,707.521,686.842,697.861,695.160,703.446,692.533,698.868,675.859,666.836,687.948
106,696.219,660.747,688.748,670.989,687.167,726.743,707.300,687.077,698.083,695.746,703.530,693.031,698.626,675.730,666.420,686.431
107,694.912,661.082,688.778,670.939,686.862,727.994,706.277,687.004,697.796,696.291,703.927,693.176,698.331,675.493,665.152,685.253
108,693.963,662.179,688.895,671.194,687.086,729.058,705.099,686.587,696.920,696.515,704.266,693.861,698.164,675.355,663.955,684.809
109,693.727,663.954,688.493,671.854,687.420,729.737,704.446,685.803,695.861,696.148,704.648,695.180,698.171,675.562,663.335,685.233
110,694.284,665.631,687.783,672.512,687.655,730.008,704.228,685.243,695.331,695.401,705.211,696.207,698.121,676.316,663.454,686.226
111,695.179,666.323,687.336,672.915,687.851,729.947,703.831,685.386,695.392,694.643,705.896,696.294,697.883,677.533,664.015,687.177
112,695.901,666.017,687.280,672.973,687.975,729.567,703.101,685.927,695.421,694.468,706.809,695.858,697.349,679.013,664.625,687.705
113,696.341,665.525,687.360,672.955,687.659,728.988,702.486,686.525,694.942,694.869,708.159,694.935,696.601,679.964,664.825,687.962
114,696.440,665.302,687.561,672.833,686.912,728.562,702.458,686.849,694.370,695.603,709.619,693.322,696.085,679.980,665.011,688.142
115,695.994,665.095,688.122,672.753,686.506,728.413,703.225,686.421,694.144,695.845,710.705,691.793,695.683,679.421,665.201,688.181
116,695.165,664.525,688.734,672.554,686.919,728.284,704.650,685.463,694.054,695.261,711.368,691.173,695.157,678.832,665.175,687.747
117,694.750,663.525,689.093,672.021,687.889,727.804,706.695,684.490,693.903,694.133,711.817,691.433,694.395,678.671,665.060,687.038
118,694.864,662.251,689.488,671.491,689.018,726.973,709.073,683.710,693.832,692.897,712.214,691.923,693.544,679.082,665.234,686.368
119,695.210,661.099,690.273,671.093,690.007,726.126,711.286,683.023,693.968,692.005,713.003,692.542,693.167,679.924,665.524,686.080
120,695.571,660.432,691.439,670.578,690.427,725.501,712.991,682.830,694.127,691.650,713.757,693.242,693.552,680.651,665.654,686.316
121,695.648,660.424,692.187,670.103,690.083,725.016,714.343,683.390,693.978,691.638,713.930,693.533,694.132,681.066,665.625,687.062
122,695.605,660.601,691.734,670.066,689.424,724.476,715.383,684.869,693.443,691.951,713.305,693.189,693.897,680.839,665.595,688.215
123,695.517,660.494,690.374,670.653,689.068,723.995,716.066,686.622,692.808,692.667,712.243,692.635,692.883,679.589,665.859,689.198
124,695.185,660.044,689.301,671.069,689.289,723.860,716.106,687.915,692.336,693.764,711.183,692.257,692.199,677.622,666.089,689.587
125,694.597,659.914,689.430,671.053,689.381,724.183,715.312,688.201,691.708,694.337,709.987,691.858,692.548,675.806,665.539,688.962
126,694.111,660.808,690.220,670.904,688.968,725.073,713.441,687.973,690.727,694.037,708.488,691.424,693.423,674.829,664.253,687.469
127,694.020,662.264,690.799,671.218,688.235,726.563,710.711,687.973,689.747,693.254,706.728,690.935,693.932,674.760,663.375,685.740
128,694.364,663.555,690.951,671.775,687.232,728.369,708.383,688.228,689.309,692.633,705.329,690.285,694.021,675.365,663.554,684.236
129,694.631,664.401,691.044,672.154,685.688,729.918,707.688,688.093,689.764,692.655,704.943,689.406,694.206,676.520,664.424,683.635
130,694.588,665.011,691.271,672.088,684.431,730.932,708.357,687.313,691.017,693.273,705.603,688.563,694.480,678.059,664.918,684.226
131,694.259,665.369,691.572,671.820,684.388,731.613,709.439,686.154,692.944,694.017,706.410,687.975,694.790,679.553,664.818,685.497
132,693.889,665.335,691.750,671.578,685.257,732.355,710.324,684.892,695.168,694.426,706.676,687.734,695.189,680.428,664.409,686.656
133,693.679,665.074,691.738,671.345,685.903,733.472,710.385,683.776,697.117,694.557,706.240,687.511,695.580,680.345,664.286,687.340
134,693.585,665.074,691.734,670.878,685.533,735.077,709.138,683.799,698.416,694.677,705.332,687.322,695.790,679.875,664.859,687.469
135,693.614,665.635,691.708,670.228,684.413,736.911,706.876,685.070,698.968,695.005,704.282,687.480,695.747,679.368,665.721,686.948
136,693.733,666.314,691.685,669.849,683.307,738.362,704.955,686.266,699.085,695.426,702.872,687.817,695.651,678.717,666.149,685.812
137,693.852,666.690,691.722,670.053,682.898,738.909,704.190,686.633,698.832,695.569,701.457,687.960,695.801,677.645,666.182,684.583
138,694.028,666.460,691.848,670.560,683.113,738.642,704.211,686.448,698.217,695.337,700.666,688.161,695.708,676.428,666.651,683.868
139,694.369,665.620,692.173,670.578,683.490,737.929,704.324,685.842,697.601,695.079,700.728,688.845,695.231,675.707,667.933,684.250
140,694.818,664.508,692.722,669.788,683.842,737.204,704.324,685.151,697.521,695.052,701.016,689.981,694.541,675.862,669.409,685.604
141,695.182,663.749,693.072,668.891,684.178,736.759,704.254,685.085,698.236,695.089,701.337,691.040,693.758,676.474,670.732,687.361
142,695.611,663.502,692.769,668.523,684.402,736.572,704.195,685.830,699.209,694.904,701.723,691.498,693.633,676.967,671.851,688.806
143,695.966,663.635,692.054,668.889,684.169,736.376,704.516,686.757,699.521,694.515,702.123,691.053,693.904,677.260,672.944,689.583
144,695.989,664.435,691.528,669.817,683.476,735.862,705.094,686.915,698.866,694.096,702.418,689.910,693.861,678.220,673.959,689.448
145,696.051,666.065,691.514,670.979,682.822,734.932,705.446,686.255,697.759,693.542,702.747,688.929,693.270,680.391,674.903,689.062
146,696.673,668.101,692.007,671.732,682.971,733.816,705.200,685.459,696.526,693.507,703.227,688.969,692.893,683.092,675.766,689.424
147,697.605,669.635,692.329,672.019,684.032,732.737,704.444,685.181,695.370,694.377,703.728,690.266,692.940,685.112,676.152,691.135
148,698.432,670.508,691.794,672.170,685.154,731.822,703.451,685.066,694.389,695.433,703.974,691.728,692.811,685.516,675.911,693.358
149,699.026,671.146,690.390,671.920,685.824,731.090,702.711,684.853,693.956,695.544,703.705,692.303,692.459,684.668,675.190,695.035
150,698.903,671.981,688.946,671.172,686.117,730.479,702.549,684.371,693.942,694.586,703.352,692.217,692.441,683.220,674.264,695.618
151,698.222,672.983,688.086,670.469,686.404,729.808,703.171,683.822,693.839,693.461,703.577,692.334,692.840,681.503,673.100,695.295
152,697.429,673.819,687.582,670.374,686.508,729.053,704.754,683.143,693.336,692.929,704.211,692.604,692.915,679.928,672.223,694.642
153,696.665,674.392,686.960,670.865,686.512,728.436,707.526,682.409,692.438,693.229,704.559,692.248,692.313,679.089,672.126,694.267
154,696.134,674.852,685.967,671.432,686.727,728.132,711.028,682.019,691.158,693.618,704.164,691.183,691.409,679.033,672.643,694.250
155,696.139,675.011,684.453,671.748,687.336,727.916,714.354,682.355,689.591,693.219,703.535,690.071,690.566,679.299,673.037,694.399
156,696.270,674.559,682.808,671.711,688.219,727.502,716.812,682.946,688.564,691.990,703.117,689.762,690.000,679.424,673.257,694.278
157,696.327,673.848,681.895,671.196,688.637,726.955,718.185,683.054,688.506,690.771,702.943,690.387,689.954,679.352,673.450,693.972
158,696.591,673.432,682.030,670.247,688.341,726.543,718.793,682.255,689.168,690.451,702.687,691.198,690.089,679.227,673.513,693.993
159,697.293,673.171,682.909,669.403,687.903,726.362,719.122,681.181,690.139,691.158,702.452,691.173,689.893,679.299,673.060,694.333
160,697.952,672.681,684.390,669.093,687.777,726.215,719.293,680.996,690.788,692.419,702.376,690.164,689.463,679.697,672.104,695.104
161,698.227,671.861,686.393,669.257,687.381,725.985,718.993,681.811,690.793,693.466,702.389,689.279,688.875,680.194,670.911,695.861
162,697.795,671.137,688.257,669.814,686.199,725.762,718.124,682.927,690.676,694.091,702.749,689.217,688.060,680.609,669.487,696.299
163,696.983,670.958,689.790,670.679,684.903,725.675,717.092,683.598,690.810,694.475,703.373,689.443,686.975,680.898,668.290,696.111
164,696.864,671.329,691.350,671.565,684.483,725.555,716.300,683.876,691.219,694.867,703.791,689.464,686.267,681.309,668.026,695.920
165,697.597,671.717,692.878,672.218,685.020,725.132,715.845,684.463,691.625,695.099,703.399,689.365,686.310,681.964,668.788,695.934
166,698.276,671.629,693.881,672.565,685.980,724.356,715.669,685.093,691.448,695.113,702.580,689.396,687.117,682.464,669.929,695.833
167,698.349,670.808,693.958,672.451,686.813,723.559,715.620,685.154,690.611,695.256,702.159,689.567,687.911,682.151,670.822,695.181
168,698.085,669.154,693.439,672.013,687.542,723.261,715.479,684.371,689.535,695.938,702.272,689.498,687.947,680.875,671.357,694.073
169,697.801,667.477,692.925,671.411,687.844,723.901,714.739,683.537,688.732,696.983,702.428,689.288,687.178,679.158,671.859,692.906
170,697.207,666.724,692.935,670.862,687.108,725.347,713.408,683.135,688.083,697.645,701.872,689.229,686.185,678.148,672.569,691.750
171,696.148,666.880,693.460,670.464,685.822,726.979,712.193,683.008,687.416,697.759,700.611,689.848,685.399,678.263,673.907,690.781
172,695.284,667.063,694.236,670.138,684.939,728.216,711.430,682.904,686.922,697.581,699.146,690.774,684.872,679.026,675.773,690.503
173,695.142,666.760,694.820,669.934,684.889,728.832,710.826,683.031,686.637,697.335,698.368,691.192,685.025,678.865,677.361,691.344
174,695.531,666.325,694.432,669.873,685.239,728.927,710.021,683.293,686.543,696.872,698.736,690.947,685.790,677.625,678.093,692.531
175,696.048,666.203,692.881,669.825,685.758,728.903,709.279,683.745,686.445,696.007,699.755,690.672,686.804,676.487,678.178,692.934
176,696.710,666.348,691.049,669.963,686.316,728.917,708.815,684.425,686.387,694.717,700.371,691.003,687.263,676.530,677.870,692.267
177,697.531,666.506,689.708,670.363,686.643,728.791,708.746,684.965,686.667,693.180,700.034,691.715,687.018,677.174,677.825,691.264
178,698.045,666.688,688.428,670.629,686.646,728.543,708.523,684.961,687.331,691.855,699.313,692.195,686.484,677.566,678.309,690.573
179,697.784,666.926,687.318,670.605,686.684,728.346,707.878,684.317,687.954,691.224,698.825,691.919,686.224,677.398,679.164,690.535
180,696.881,667.032,686.792,670.676,686.792,728.365,707.408,683.680,688.139,691.478,698.770,691.130,685.808,677.375,679.546,691.194
181,696.071,667.089,686.806,671.082,686.585,728.754,708.016,683.629,687.927,692.631,698.642,690.226,684.936,678.039,679.379,692.361
182,695.369,667.209,686.904,671.674,685.932,729.684,709.153,684.351,687.513,694.259,698.110,689.669,683.907,679.086,678.952,693.153
183,694.628,667.211,686.965,672.101,685.106,731.321,709.399,685.487,687.479,695.815,697.525,689.768,683.413,679.503,678.312,692.878
184,693.594,666.500,687.325,672.170,684.325,733.627,708.491,686.201,687.805,696.887,696.734,690.149,683.605,679.359,677.327,691.955
185,692.892,665.008,687.829,671.934,683.300,736.405,707.303,685.954,687.990,697.719,695.538,689.879,684.100,679.280,676.349,691.608
186,692.793,663.555,687.970,671.594,682.106,739.060,706.258,685.425,687.708,698.554,694.410,688.870,684.580,679.711,675.554,692.267
187,693.054,663.348,687.042,671.340,681.519,740.966,705.307,685.359,687.105,699.121,694.047,688.201,684.822,679.964,674.796,693.392
188,693.170,664.133,685.432,671.138,681.995,741.901,704.737,685.965,686.513,699.059,694.595,688.443,685.157,679.914,674.007,694.549
189,692.906,665.103,684.002,670.920,682.984,742.181,704.477,686.865,686.100,698.628,695.648,688.932,685.719,680.197,673.613,695.861
190,692.219,665.943,683.292,670.660,683.483,742.100,704.289,687.475,686.041,698.128,696.520,689.040,686.046,681.273,673.814,697.035
191,692.023,666.791,683.002,670.422,683.181,741.727,703.847,687.487,686.156,697.746,697.063,688.916,685.199,681.872,674.480,698.149
192,692.716,667.319,682.773,670.419,682.307,741.315,703.016,687.085,685.946,697.640,697.264,689.046,683.377,681.237,675.104,698.854
193,693.827,667.373,682.678,670.777,681.517,741.223,702.061,686.776,685.107,697.559,697.232,689.511,681.818,679.822,675.342,699.076
194,694.438,667.122,682.843,671.228,681.160,741.683,701.418,687.004,684.482,697.470,696.734,689.771,681.445,678.618,675.190,698.368
195,694.457,666.597,683.299,671.268,681.284,742.526,701.190,687.402,684.964,697.470,695.906,689.406,682.153,678.148,675.097,697.069
196,694.065,665.903,683.790,670.788,681.853,743.331,701.286,687.513,686.328,697.631,695.266,688.799,683.189,678.128,675.290,696.042
197,693.591,665.521,683.951,670.414,682.368,743.784,701.563,687.502,687.426,697.857,695.274,688.601,684.292,678.112,675.680,695.622
198,693.105,665.570,683.904,670.371,682.578,743.797,701.690,687.513,687.910,697.961,695.932,688.802,685.893,677.836,676.060,695.694
