 ,Mean1,Mean4,Mean6,Mean7
418,637.403,870.585,715.669,808.413
419,638.107,872.980,716.275,808.775
420,637.806,870.891,715.762,808.497
421,636.964,865.914,714.920,807.908
422,636.434,862.783,714.816,807.575
423,636.550,863.815,715.672,807.666
424,636.789,866.567,716.692,807.705
425,636.635,866.989,716.658,807.077
426,635.986,864.086,715.336,805.913
427,635.109,861.141,714.086,805.092
428,634.664,861.466,714.243,804.961
429,635.178,864.092,715.346,805.007
430,636.336,865.151,715.795,804.796
431,637.443,862.344,714.916,804.357
432,638.130,857.779,713.531,804.048
433,638.500,855.805,713.138,804.118
434,638.353,858.505,714.228,804.630
435,637.777,864.075,716.174,805.427
436,637.344,869.059,717.769,806.229
437,637.659,872.103,718.430,806.917
438,638.592,874.778,718.706,807.412
439,639.334,878.150,719.233,807.580
440,639.009,880.662,719.886,807.479
441,637.344,879.216,719.734,807.248
442,635.263,873.317,718.461,806.898
443,634.329,866.614,716.931,806.442
444,635.066,863.798,716.361,806.105
445,636.265,865.368,716.958,806.120
446,636.616,867.363,717.615,806.372
447,635.981,865.673,717.066,806.491
448,635.104,860.824,715.512,806.323
449,634.410,857.544,714.455,805.974
450,634.137,858.636,714.850,805.499
451,634.159,861.740,716.094,804.896
452,634.261,862.343,716.642,804.182
453,634.336,858.964,715.718,803.488
454,634.588,854.722,714.274,803.152
455,634.863,853.370,713.968,803.214
456,634.877,855.046,714.883,803.371
457,634.348,856.591,715.631,803.150
458,633.043,855.336,715.175,802.469
459,631.552,852.227,714.202,801.611
460,630.908,850.707,714.217,800.942
461,631.377,852.557,715.620,800.762
462,632.239,855.701,717.232,800.940
463,632.507,856.380,717.420,800.934
464,632.064,853.610,715.955,800.519
465,631.405,850.323,714.122,800.036
466,631.251,849.940,713.455,799.878
467,631.836,852.508,714.278,800.167
468,632.604,855.673,715.649,800.761
469,632.919,857.940,716.653,801.397
470,633.201,860.329,717.096,802.081
471,634.232,864.293,717.472,802.651
472,635.915,869.221,718.046,802.884
473,637.417,872.375,718.435,802.516
474,638.185,871.246,718.052,801.624
475,637.964,866.791,716.715,800.771
476,637.178,863.257,715.320,800.356
