 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
70,264.558,269.370,263.432,265.812,273.276,256.798,252.431,253.891,257.648,248.306,249.886,255.870,349.297,255.759,250.494,254.782,253.540,247.913,253.204,253.520,251.380,255.129
71,264.014,269.162,263.324,265.756,273.093,257.792,252.829,253.832,257.536,248.226,249.702,256.018,348.396,255.343,250.365,254.368,253.766,248.262,252.718,253.287,251.724,254.731
72,263.438,269.306,263.261,264.940,272.664,258.514,252.620,253.309,257.437,248.699,249.257,256.197,347.126,255.225,250.331,254.013,253.353,248.896,252.321,253.381,252.463,254.365
73,262.935,269.553,263.345,263.880,272.090,258.801,252.085,252.617,257.642,249.452,249.114,256.664,346.026,255.408,250.298,253.949,252.743,249.368,252.189,253.718,253.294,254.016
74,262.553,269.551,263.540,263.209,271.448,258.790,251.482,252.199,257.969,249.790,249.367,257.072,345.340,255.938,250.350,254.222,252.220,249.580,252.200,254.147,253.744,253.765
75,262.677,269.270,263.571,263.034,270.940,258.710,250.779,252.184,257.997,249.742,249.755,257.036,344.784,256.400,250.302,254.611,251.860,249.654,252.189,254.651,253.588,253.771
76,263.203,268.956,263.401,263.273,270.791,258.418,250.076,252.203,257.560,249.866,249.747,256.587,344.021,256.494,250.209,254.763,251.505,249.541,251.811,255.239,253.145,253.932
77,263.774,268.766,263.380,263.816,270.805,257.842,249.657,252.121,256.932,250.134,249.412,256.318,342.949,255.882,250.306,254.670,251.320,249.275,251.232,255.492,252.751,253.996
78,264.470,268.740,263.568,264.124,270.895,257.172,249.666,251.922,256.208,250.237,249.257,256.336,341.876,255.159,250.479,254.586,251.348,249.095,250.721,255.441,252.469,253.886
79,265.194,268.866,263.885,264.081,270.978,256.645,250.127,251.859,255.181,250.231,249.612,256.529,341.201,254.904,250.557,254.569,251.498,249.160,250.479,255.272,252.439,253.693
80,265.359,268.908,264.035,263.628,270.974,256.153,250.675,251.570,254.382,250.403,250.445,256.762,340.903,255.355,250.538,254.499,251.645,249.381,250.457,255.270,252.618,253.574
81,264.820,268.678,263.902,262.675,270.743,256.022,251.025,251.164,254.280,250.640,251.355,256.713,340.719,256.131,250.513,254.266,251.708,249.610,250.886,255.465,252.551,253.550
82,263.710,268.351,263.836,261.863,270.399,256.030,251.235,251.023,254.915,250.462,251.902,256.197,340.167,256.514,250.298,253.909,251.633,249.784,251.786,255.561,252.191,253.707
83,262.346,268.323,264.240,261.697,270.084,255.822,251.544,250.812,255.638,250.070,252.090,255.300,339.280,256.116,249.819,253.522,251.250,249.853,252.839,255.296,251.829,254.038
84,261.571,268.758,264.902,261.983,269.736,255.568,251.901,250.105,255.703,249.930,252.147,254.430,338.449,255.269,249.430,253.281,250.547,249.797,253.304,254.863,251.704,254.179
85,261.779,269.614,265.233,262.299,269.296,255.541,251.887,249.508,254.993,249.667,252.106,254.341,338.017,254.737,249.426,253.328,249.708,249.528,253.075,254.492,251.938,254.213
86,262.461,270.925,265.063,262.624,268.908,255.743,251.479,249.773,254.130,249.108,251.845,255.112,337.789,254.878,249.586,253.905,249.065,249.156,252.554,254.075,252.340,254.367
87,263.041,272.434,264.376,262.996,268.750,255.721,251.076,250.711,253.962,248.419,251.465,256.395,337.254,255.600,249.574,254.696,248.708,248.781,252.204,253.407,252.948,254.620
88,263.230,273.706,263.206,263.248,268.871,255.104,250.684,251.527,254.382,248.059,251.098,257.049,336.338,256.259,249.321,255.302,248.633,248.859,251.925,252.619,253.716,254.958
89,263.438,274.575,261.742,263.192,269.406,254.320,250.200,251.824,254.863,248.387,251.106,256.475,335.439,256.267,249.013,255.465,248.610,249.262,251.621,252.207,254.217,255.307
90,263.760,275.388,260.613,262.970,270.047,254.087,249.657,251.602,255.034,249.194,251.400,255.018,334.928,255.659,248.884,255.285,248.692,249.452,251.318,252.340,254.356,255.488
91,264.143,276.340,260.366,262.705,270.354,254.579,249.636,251.418,254.915,250.220,251.514,254.045,334.598,254.988,249.116,255.032,249.082,249.015,251.336,252.947,254.475,255.466
92,264.240,277.140,260.976,262.654,270.294,255.336,250.528,251.402,254.795,250.683,250.984,254.287,334.057,254.689,249.456,254.848,249.860,248.247,251.807,253.923,254.863,255.462
93,263.949,277.703,261.815,262.846,269.925,255.997,251.532,251.449,255.075,250.333,250.020,255.359,333.168,254.789,249.901,254.884,250.402,247.903,252.814,254.841,255.408,255.536
94,263.415,278.182,262.000,263.321,269.515,256.705,251.965,251.527,255.703,248.823,249.576,255.924,332.310,254.926,250.639,255.118,250.549,248.628,253.900,255.357,255.895,255.892
95,262.880,278.635,261.530,263.872,269.288,257.678,252.060,251.824,256.229,247.242,250.245,255.139,332.033,254.837,251.435,255.364,250.544,249.887,254.907,255.371,256.241,256.464
96,262.650,279.057,261.331,264.308,269.556,259.030,252.394,252.203,256.396,246.376,251.739,253.493,332.560,254.709,251.667,255.180,250.708,250.879,255.546,255.316,256.388,256.960
97,263.032,279.460,261.815,264.081,270.354,260.541,252.882,252.484,256.304,246.355,252.951,252.381,334.056,254.550,251.302,254.436,250.864,251.242,256.132,255.542,256.352,257.361
98,263.982,280.053,262.557,262.944,271.121,261.743,252.908,252.547,256.549,246.941,252.951,252.655,336.551,254.124,250.660,253.638,250.687,251.307,256.693,256.094,256.225,257.530
99,265.488,281.049,262.620,261.487,271.526,262.451,252.364,252.523,257.406,247.914,252.188,253.664,339.685,253.442,250.293,253.319,250.250,251.699,257.314,256.969,256.127,257.448
100,267.465,282.399,261.857,260.714,271.606,262.620,251.636,252.852,258.246,248.613,251.445,254.426,342.753,252.894,250.416,253.408,249.610,252.515,257.671,257.870,256.095,257.195
101,269.207,283.619,261.129,260.752,271.714,262.672,251.279,253.773,258.638,248.946,251.245,254.511,345.259,252.600,250.785,253.385,248.895,253.258,257.589,258.270,256.024,257.054
102,269.954,284.086,261.101,260.850,271.971,262.934,251.159,255.152,258.287,248.968,251.665,254.659,346.870,252.416,250.814,253.268,248.168,253.411,257.243,257.814,255.907,257.070
103,269.876,283.881,261.679,260.735,272.432,263.484,251.134,256.422,257.560,249.226,252.143,255.139,347.603,252.400,250.287,253.209,247.418,253.160,257.061,256.660,255.638,257.197
104,270.009,283.745,262.230,260.791,273.061,264.074,251.320,257.086,256.976,249.387,252.212,255.655,347.830,252.791,249.759,253.452,246.836,252.861,257.143,255.639,255.517,257.303
105,270.871,284.413,262.585,261.329,273.796,263.967,251.813,257.125,257.137,249.129,251.976,256.157,347.978,253.482,249.445,253.841,246.507,252.764,257.682,255.564,255.847,257.181
