 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
119,312.324,319.209,306.958,300.661,317.159,308.894,306.395,320.206,316.178,325.440,309.484,313.829,309.608
120,312.144,319.014,306.507,300.362,316.916,308.930,306.553,320.406,315.888,325.258,309.832,313.823,309.560
121,312.371,318.831,306.252,299.846,317.125,308.991,306.446,320.445,315.822,325.104,309.994,313.890,309.036
122,312.625,319.034,306.350,299.417,317.628,308.969,306.128,320.441,315.955,324.891,309.646,314.014,308.402
123,312.623,319.485,306.711,299.390,318.047,308.961,306.024,320.504,316.191,324.791,308.943,314.168,308.186
124,312.360,319.962,307.178,299.686,318.155,308.928,306.247,320.746,316.401,324.715,308.400,314.184,308.368
125,312.011,320.177,307.448,300.211,317.923,308.900,306.623,321.119,316.445,324.747,308.507,314.134,308.527
126,311.843,320.099,307.472,300.846,317.703,308.906,306.887,321.316,316.256,324.651,309.146,313.991,308.349
127,311.888,319.803,307.435,301.560,317.621,308.932,306.972,321.161,316.016,324.421,309.757,313.768,307.879
128,312.231,319.503,307.522,302.094,317.572,308.874,306.880,320.798,315.895,324.261,309.978,313.513,307.341
129,312.602,319.382,307.443,302.261,317.585,308.821,306.793,320.550,315.866,324.442,309.800,313.335,307.226
130,312.822,319.539,307.215,302.046,317.733,308.785,306.750,320.571,315.915,324.798,309.326,313.287,307.620
131,312.989,319.859,306.963,301.782,318.006,308.700,306.746,320.722,316.000,325.137,308.783,313.377,308.184
132,313.161,320.119,306.904,301.702,317.867,308.471,306.653,320.964,316.242,325.343,308.534,313.534,308.697
133,313.121,320.060,306.889,301.842,317.254,308.359,306.411,321.207,316.543,325.486,308.867,313.508,309.125
134,312.913,319.946,306.793,302.229,316.690,308.873,306.359,321.486,317.258,326.108,309.749,313.196,309.358
135,312.797,320.105,306.915,302.805,316.656,310.682,307.176,322.172,319.140,327.889,310.930,313.098,309.479
136,313.176,320.487,307.668,303.459,317.351,314.004,309.389,323.823,322.642,331.124,312.429,313.735,309.511
137,314.117,320.968,309.051,304.014,318.649,318.123,312.502,326.541,327.019,335.077,314.374,315.031,309.511
138,315.362,321.354,310.554,304.289,320.292,321.867,315.726,329.572,331.040,338.511,316.418,316.437,309.541
139,316.572,321.696,311.820,304.266,321.948,324.673,318.445,332.157,334.007,340.853,318.053,317.514,309.608
140,317.549,321.952,312.746,303.986,323.239,326.772,320.585,333.967,336.040,342.455,319.185,318.201,309.756
141,318.322,322.024,313.344,303.800,324.166,328.406,322.207,335.171,337.511,343.917,320.035,318.621,310.081
142,318.684,321.954,313.698,303.970,325.129,329.683,323.465,336.202,338.821,345.330,320.815,319.039,310.511
143,318.693,321.777,313.880,304.592,326.135,330.640,324.398,337.379,340.043,346.377,321.691,319.581,310.877
144,318.646,321.662,314.100,305.583,326.968,331.290,324.878,338.673,341.061,346.839,322.662,320.281,311.065
145,318.996,321.771,314.461,306.557,327.443,331.767,325.008,339.866,341.918,347.152,323.665,321.093,311.061
146,319.778,321.920,314.952,307.167,327.563,332.194,325.218,340.772,342.710,347.703,324.597,321.749,310.925
147,320.578,321.873,315.230,307.358,327.817,332.576,325.606,341.320,343.487,348.365,325.343,321.852,310.552
148,321.015,321.573,315.173,307.319,328.437,332.988,326.045,341.502,344.195,348.852,325.871,321.633,310.244
149,321.036,321.372,314.671,307.156,329.123,333.556,326.401,341.571,344.778,349.199,326.191,321.399,310.145
150,320.915,321.348,314.056,306.979,329.163,334.354,326.674,341.651,345.236,349.507,326.386,321.446,310.238
151,320.928,321.338,313.909,306.656,328.566,335.115,326.886,341.845,345.523,349.920,326.446,321.458,310.461
152,321.188,321.252,314.181,306.161,328.078,335.549,327.178,341.916,345.759,350.282,326.146,321.247,310.673
153,321.301,321.133,314.396,305.732,328.206,335.599,327.657,341.926,345.936,350.320,325.421,320.913,310.683
154,321.182,320.968,314.228,305.713,328.467,335.635,328.232,342.004,345.887,349.703,324.509,320.846,310.453
155,321.017,320.684,314.003,306.011,328.413,335.670,328.797,342.170,345.482,348.835,323.798,321.097,310.079
156,320.964,320.300,314.189,306.241,328.021,335.458,329.049,342.102,344.956,348.299,323.398,321.491,309.798
157,321.134,320.163,314.873,306.339,327.464,335.038,328.800,341.665,344.628,348.289,323.407,321.657,309.828
158,321.131,320.419,315.578,306.420,326.890,334.661,328.158,341.155,344.383,348.439,323.760,321.487,310.119
159,320.636,320.803,316.013,306.587,326.471,334.350,327.476,340.717,344.026,348.380,324.320,321.112,310.459
160,319.962,321.131,316.018,306.399,326.254,333.990,326.974,340.438,343.562,347.974,324.644,320.818,310.679
161,319.663,321.191,315.798,305.768,326.161,333.608,326.712,340.190,343.122,347.400,324.493,320.764,310.743
162,319.786,321.143,315.587,304.970,325.793,333.346,326.578,339.886,342.751,346.959,323.869,320.850,310.850
163,319.841,321.390,315.274,304.530,325.475,333.133,326.512,339.485,342.290,346.905,323.179,320.881,310.877
164,319.540,321.871,314.685,304.640,325.720,332.879,326.315,339.116,341.723,347.077,322.656,320.738,310.707
165,319.123,322.252,313.981,304.998,326.598,332.693,325.795,338.928,341.151,347.130,322.395,320.518,310.552
166,318.826,322.563,313.602,305.209,327.439,332.759,325.236,338.902,340.718,346.845,322.222,320.283,310.697
167,318.659,322.942,313.825,305.131,327.430,332.860,324.755,338.775,340.347,346.269,322.005,320.045,311.022
168,318.650,323.249,314.226,304.966,326.832,332.674,324.331,338.349,340.070,345.385,321.714,319.734,311.204
169,318.884,323.262,314.400,304.844,326.275,332.153,323.875,337.602,340.109,344.419,321.167,319.189,310.939
170,319.316,323.042,314.292,304.908,326.219,331.616,323.494,336.809,340.634,343.644,320.406,318.537,310.343
171,319.674,322.642,314.082,305.083,326.363,331.111,323.219,336.243,341.267,343.114,319.568,318.084,309.956
172,319.775,322.179,313.897,305.154,326.295,330.608,322.940,335.941,341.501,342.840,318.777,318.104,310.044
173,319.608,321.668,313.695,304.936,326.052,330.235,322.594,335.667,341.190,342.781,318.314,318.496,310.362
174,319.375,321.378,313.474,304.374,325.931,329.980,322.269,335.231,340.691,342.670,318.361,318.991,310.570
175,319.210,321.195,313.196,303.729,326.103,329.774,322.130,334.639,340.422,342.268,318.720,319.446,310.576
176,319.144,321.229,313.116,303.404,326.247,329.489,322.237,333.923,340.414,341.465,318.949,319.656,310.378
