 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
167,219.771,242.185,270.317,215.544,228.731,219.413,208.816,226.917,225.685
168,219.985,242.193,270.279,215.669,229.084,219.628,208.413,226.873,225.983
169,219.875,241.997,270.143,215.822,229.546,219.899,207.965,226.735,226.633
170,219.720,241.792,269.944,215.943,230.175,220.174,207.895,226.821,227.427
171,219.709,241.523,269.546,216.218,230.855,220.674,208.023,227.363,227.874
172,219.532,241.461,269.107,216.550,231.424,221.509,208.236,227.986,227.981
173,219.069,241.925,268.721,216.938,231.672,222.482,208.186,228.365,227.856
174,218.394,242.908,268.334,217.034,231.650,223.427,207.972,228.550,227.830
175,217.993,243.876,267.893,216.884,231.631,224.303,207.683,228.828,227.808
176,217.868,244.412,267.427,216.351,232.003,225.206,207.546,229.353,227.723
177,218.076,244.415,267.352,215.839,232.665,225.807,207.665,229.878,227.614
178,218.584,244.074,267.852,215.615,233.124,225.734,207.778,230.112,227.668
179,219.060,243.631,268.620,215.652,232.924,225.009,207.588,229.892,228.005
180,219.241,243.337,269.207,215.895,232.251,223.908,207.179,229.596,228.305
181,219.209,243.240,269.613,216.493,231.667,223.028,206.792,229.391,228.135
182,219.248,243.160,270.078,217.207,231.647,222.550,206.639,229.522,227.626
183,219.282,242.979,270.433,217.603,231.973,222.702,206.832,229.998,227.272
184,218.968,242.649,270.418,217.292,232.053,223.156,207.347,230.587,227.220
185,218.340,242.361,269.986,216.598,231.556,223.358,207.755,230.786,227.220
186,217.864,242.178,269.398,216.079,230.895,223.041,207.979,230.671,227.237
187,217.573,242.010,268.893,215.822,230.654,222.569,208.061,230.427,227.284
188,217.231,241.838,268.591,215.343,230.732,222.326,208.173,230.157,227.567
189,216.922,241.748,268.532,214.663,230.499,222.294,208.271,229.886,227.978
190,216.881,241.748,268.697,214.025,229.661,222.060,208.102,229.529,228.095
191,217.194,241.838,268.904,213.807,228.511,221.307,207.392,229.109,227.721
192,217.707,241.904,268.965,213.938,227.497,220.372,206.520,228.737,227.176
193,218.151,241.998,268.918,214.153,226.940,219.817,206.187,228.564,226.841
194,218.414,242.155,269.108,214.569,226.880,220.115,206.464,228.454,226.796
195,218.368,242.387,269.415,214.915,227.014,221.284,206.968,228.353,226.900
196,217.826,242.464,269.614,214.816,226.974,222.372,207.436,228.252,227.090
197,217.106,242.324,269.541,214.071,226.731,222.830,207.872,227.986,227.344
198,216.653,242.093,269.346,213.235,226.585,222.872,208.254,227.753,227.372
199,216.651,241.863,269.280,212.626,226.813,223.257,208.445,227.764,227.176
200,216.724,241.570,269.308,212.527,227.299,223.661,208.257,228.157,226.753
201,216.595,241.257,269.351,212.992,227.574,223.500,207.979,228.509,226.289
202,216.338,241.105,269.334,213.841,227.333,222.450,207.757,228.554,225.946
203,216.287,241.033,269.262,214.708,226.865,220.945,207.510,228.356,225.924
204,216.502,241.054,269.195,215.227,226.627,219.950,207.142,228.273,226.090
205,216.642,241.154,269.175,215.416,226.755,220.115,206.592,228.318,226.131
206,216.584,241.314,269.114,215.433,227.198,220.885,206.252,228.286,226.151
207,216.444,241.456,268.924,215.292,227.594,221.679,206.496,228.072,226.346
208,216.431,241.359,268.677,215.125,227.735,221.821,207.117,227.767,226.753
209,216.463,240.966,268.773,215.068,227.501,221.528,207.622,227.667,227.116
210,216.479,240.440,269.087,215.091,227.332,220.940,207.757,227.673,227.434
211,216.565,240.085,269.192,215.074,227.506,220.385,207.739,227.585,227.746
