 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,MEan7,Mean8,Mean9,Mean10
96,-1.566071902,0.083247344,0.456888028,-0.051924438,0.279300975,-0.246268373,-0.469022857,-0.570345631,-1.369859975,0.297654095
97,-1.562832943,0.070387083,0.454647006,-0.039509194,0.278717139,-0.246338148,-0.466191223,-0.584510974,-1.370446612,0.285621837
98,-1.560260024,0.059047918,0.455851712,-0.028303185,0.276977192,-0.248463904,-0.465398239,-0.599229426,-1.384143816,0.270896692
99,-1.559367977,0.049016007,0.460480754,-0.019579179,0.274165601,-0.251855675,-0.467184127,-0.611935755,-1.414656686,0.254913147
100,-1.560810077,0.039887331,0.468385163,-0.014120479,0.270456363,-0.255554015,-0.471548752,-0.620356081,-1.462913052,0.238864067
101,-1.564690488,0.031290632,0.479267854,-0.012445015,0.266205592,-0.258360842,-0.47798754,-0.622730216,-1.528490083,0.223580655
102,-1.570517377,0.023195168,0.492576224,-0.014522098,0.261707201,-0.259217751,-0.485418051,-0.618252899,-1.608492674,0.209629519
103,-1.577235836,0.015742863,0.507763688,-0.019865674,0.257279998,-0.256970672,-0.492551502,-0.606797847,-1.698730109,0.196844724
104,-1.583976498,0.009357674,0.524019433,-0.027621764,0.253263685,-0.250890621,-0.498038599,-0.589181535,-1.793473304,0.184987216
105,-1.589605131,0.004414324,0.540345933,-0.036908846,0.249860048,-0.240733318,-0.500438602,-0.566738839,-1.885645992,0.173347348
106,-1.593118147,0.001261144,0.555719729,-0.046632279,0.24710559,-0.226970712,-0.49848357,-0.541197198,-1.968432602,0.16137411
107,-1.594017204,0.000238446,0.569054334,-0.055946872,0.245010705,-0.210413435,-0.491486916,-0.514258512,-2.035350114,0.148809894
108,-1.592145409,0.001438406,0.579258974,-0.063998127,0.243409761,-0.192655457,-0.478969266,-0.487468857,-2.080847683,0.135440812
109,-1.587705062,0.004672901,0.585476636,-0.070297413,0.241984674,-0.17535166,-0.460966538,-0.461970584,-2.101385974,0.121637036
110,-1.581419561,0.009656522,0.587044575,-0.074646839,0.240323062,-0.160501299,-0.438080005,-0.438360818,-2.096144532,0.108026103
111,-1.574407216,0.015859939,0.583722845,-0.077090323,0.23798868,-0.14980567,-0.41153339,-0.416765506,-2.065952855,0.095564033
112,-1.567733145,0.022839234,0.575549164,-0.077945788,0.234519093,-0.144513491,-0.383140744,-0.396904382,-2.014549324,0.085200348
113,-1.562746382,0.0303222,0.563095664,-0.077662924,0.229634038,-0.145188896,-0.355139298,-0.378194069,-1.948135561,0.07784766
114,-1.560532578,0.038079842,0.547271109,-0.076711607,0.223157731,-0.151652239,-0.33005851,-0.360008109,-1.873636917,0.074154069
115,-1.562018766,0.046287275,0.529444966,-0.075618458,0.21509504,-0.162794437,-0.310638121,-0.341886546,-1.798094286,0.07448958
116,-1.56772234,0.055045188,0.510902771,-0.074788765,0.205745205,-0.176906385,-0.299213767,-0.323583802,-1.72979033,0.078727258
