 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
207,280.393,273.410,275.156,272.336,273.643,272.270,276.349,293.216,291.767,267.856,286.135,277.695,279.567,289.386
208,280.300,273.560,274.911,272.793,273.718,271.772,276.549,293.333,291.849,268.051,286.057,278.015,280.388,289.383
209,280.026,273.458,274.880,272.770,273.499,270.987,276.342,293.493,292.179,268.246,286.210,278.304,281.048,289.339
210,279.490,273.124,274.765,272.129,272.873,270.343,276.322,293.476,292.300,268.801,286.555,278.571,281.197,289.206
211,279.046,272.730,274.436,271.247,272.282,270.168,276.647,293.253,292.115,269.562,286.740,278.847,280.921,289.085
212,278.988,272.536,274.283,270.917,272.251,270.435,277.035,293.005,291.928,269.872,286.685,279.198,280.493,289.201
213,279.178,272.418,274.480,271.356,272.640,270.764,277.271,292.889,291.961,269.482,286.567,279.509,280.185,289.580
214,279.240,272.427,274.679,272.013,273.101,271.010,277.347,292.930,292.148,268.792,286.755,279.524,279.901,289.824
215,279.185,272.601,274.667,272.510,273.545,271.243,277.336,292.966,292.275,268.077,287.257,279.358,279.758,289.778
216,279.134,273.059,274.571,272.803,273.787,271.325,277.190,292.917,292.079,267.573,287.733,279.215,279.875,289.584
217,279.285,273.632,274.676,272.899,273.850,271.005,276.994,292.693,291.552,267.538,287.892,279.027,280.268,289.411
218,279.554,273.878,274.844,272.939,273.620,270.524,276.862,292.418,291.060,267.929,287.908,278.734,280.586,289.143
219,279.642,273.625,274.945,272.755,273.274,270.254,277.013,292.346,290.928,268.294,288.009,278.418,280.508,288.681
220,279.557,273.270,274.957,272.513,273.239,270.503,277.269,292.685,290.986,268.531,288.094,278.257,280.118,287.995
221,279.397,273.196,275.031,272.154,273.588,270.736,277.267,293.101,291.258,268.515,287.976,278.302,279.704,287.455
222,279.373,273.484,275.269,271.924,274.061,270.544,277.192,293.270,291.701,268.259,287.728,278.495,279.551,287.404
223,279.669,273.898,275.580,271.894,274.271,270.055,277.165,293.090,292.024,267.925,287.615,278.530,279.910,287.945
224,280.109,274.072,275.602,271.967,274.159,269.579,277.180,292.730,291.788,267.949,287.689,278.201,280.542,288.630
225,280.299,273.917,275.230,272.035,273.856,269.327,277.075,292.421,291.061,268.199,287.877,277.647,280.978,289.106
226,279.990,273.606,274.799,272.139,273.556,269.165,276.985,292.222,290.336,268.254,288.082,277.338,280.996,289.298
227,279.323,273.397,274.729,272.369,273.375,269.065,277.044,291.986,290.066,267.876,288.237,277.557,280.641,289.360
228,278.861,273.479,274.890,272.783,273.383,269.102,277.200,291.746,290.292,267.221,288.228,278.044,280.285,289.503
229,278.802,273.619,275.034,273.078,273.467,269.592,277.200,291.563,290.836,266.604,288.022,278.449,280.282,289.573
230,278.811,273.904,275.084,272.934,273.331,270.469,277.008,291.603,291.346,266.411,287.739,278.427,280.593,289.688
231,278.720,274.431,274.993,272.389,272.971,271.149,276.539,291.702,291.445,266.551,287.548,278.056,281.010,289.619
232,278.467,274.828,274.806,271.886,272.464,271.212,275.833,291.823,291.203,266.878,287.505,277.683,281.316,289.303
233,278.216,274.800,274.803,271.601,272.254,270.859,275.315,291.941,291.077,267.055,287.445,277.535,281.330,288.878
234,278.138,274.120,275.271,271.533,272.401,270.597,275.117,291.992,291.289,267.139,287.439,277.607,280.971,288.566
235,278.096,273.477,275.923,271.677,272.709,270.531,275.223,291.796,291.601,267.208,287.583,277.695,280.566,288.446
236,277.957,273.316,276.290,272.043,272.974,270.513,275.328,291.418,291.500,267.270,287.818,277.588,280.415,288.432
