 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
100,388.877,390.785,438.607,389.020,376.110,401.122,389.733,374.501,380.230,368.676,368.315,391.919,367.896,383.198,369.413
101,391.585,391.864,441.857,391.473,376.096,403.039,390.642,376.152,381.479,370.411,368.310,393.852,367.832,384.317,370.399
102,393.996,391.974,444.981,393.931,376.411,404.420,392.078,376.531,382.252,372.341,368.656,395.204,367.778,385.452,370.687
103,396.148,391.241,447.237,395.666,377.534,405.330,393.687,376.056,382.436,373.632,368.997,396.342,367.946,386.523,370.762
104,397.939,390.649,448.492,396.919,379.251,406.100,395.251,375.547,382.160,374.092,369.415,397.676,368.528,387.317,371.158
105,399.047,390.780,449.188,398.705,380.927,407.302,396.720,375.488,381.988,374.692,370.020,399.764,369.872,387.723,371.709
106,399.625,391.780,449.959,401.292,381.658,409.276,397.835,375.912,382.209,376.376,370.861,402.440,371.669,388.074,372.332
107,400.307,393.393,450.931,403.861,381.804,411.974,398.255,376.576,382.632,378.800,371.744,405.035,373.477,388.495,373.125
108,401.217,395.026,451.911,405.469,382.055,414.800,398.251,377.400,383.454,380.711,372.185,406.680,375.069,388.906,374.307
109,402.051,396.021,452.756,406.050,382.817,416.974,398.774,377.856,384.687,381.738,372.080,407.208,376.267,389.173,375.529
110,402.538,396.178,453.733,406.130,383.676,418.194,399.967,377.643,386.319,382.297,371.787,406.827,376.889,389.424,376.258
111,402.588,395.728,455.198,406.209,383.900,418.779,401.136,376.944,387.693,382.565,371.651,406.299,376.968,389.772,376.299
112,402.610,394.921,457.011,406.392,383.123,419.299,401.720,376.157,387.951,382.605,371.511,406.155,376.914,390.414,375.889
113,402.859,394.204,458.730,406.359,381.808,419.964,401.802,375.515,386.917,382.668,371.116,406.644,377.138,390.845,375.717
114,402.946,393.565,459.969,405.966,380.708,420.572,401.449,375.240,385.574,383.014,370.682,407.641,377.644,390.746,376.025
115,402.379,393.194,460.540,405.290,379.927,420.981,400.350,375.515,384.926,383.746,370.401,408.444,378.427,390.175,376.482
116,401.336,392.754,460.482,404.609,379.589,421.217,398.996,375.912,385.294,384.611,370.506,408.398,379.353,389.538,376.634
117,400.563,392.120,459.999,403.931,379.635,421.195,398.033,376.027,386.310,385.046,370.892,407.595,380.044,388.673,376.197
118,400.202,391.723,459.215,402.944,379.881,420.749,397.860,375.992,387.040,384.935,371.446,406.634,380.348,387.612,375.008
119,399.939,391.461,458.293,401.534,379.936,419.894,397.963,376.059,386.617,384.800,371.940,405.768,379.973,386.835,373.715
120,399.502,390.670,457.188,400.130,379.849,418.827,397.996,375.752,385.163,385.154,372.048,404.975,378.988,386.381,372.978
121,399.144,389.215,455.723,399.023,379.694,417.588,397.979,374.688,383.752,385.505,371.616,404.475,377.973,385.957,372.803
122,398.993,388.204,454.016,398.154,379.425,416.336,398.284,373.477,383.113,385.092,371.128,404.025,377.610,385.376,372.831
123,398.892,388.304,452.230,397.511,379.151,415.209,398.667,372.709,383.325,384.024,371.148,403.546,377.753,385.086,372.499
124,398.451,388.634,450.270,397.252,378.922,414.263,398.111,372.547,383.914,383.124,371.352,402.792,378.042,385.074,372.050
125,397.625,388.126,447.972,397.171,378.653,413.285,396.436,372.536,383.929,382.722,371.105,401.461,378.094,385.102,371.715
126,396.531,386.429,445.530,396.702,378.548,412.039,394.424,372.443,383.120,382.132,370.472,399.669,377.674,384.992,371.648
127,395.415,384.466,443.392,395.580,378.872,410.619,392.975,372.053,381.908,380.911,369.940,397.507,377.020,384.749,371.814
128,394.289,383.037,441.587,394.305,379.543,409.580,392.037,371.437,381.025,379.495,369.812,395.268,376.644,384.228,371.884
129,392.967,382.346,439.803,393.337,379.776,408.918,391.412,370.776,380.656,378.532,369.693,393.641,376.556,383.561,372.055
130,391.755,381.995,437.979,392.817,379.151,408.263,391.016,370.333,380.350,378.135,369.193,393.095,376.477,382.931,372.554
131,391.116,382.314,436.334,392.615,378.046,407.286,390.802,370.109,379.810,378.095,368.693,393.056,376.160,382.627,373.033
132,391.282,383.052,435.017,392.340,377.128,405.970,390.412,369.904,379.043,378.330,368.608,392.750,375.405,382.782,372.914
133,391.570,383.387,433.856,391.768,376.635,404.458,389.683,369.592,378.390,378.811,369.165,392.130,374.222,383.211,372.028
134,391.339,382.906,432.648,391.038,376.470,403.224,388.835,369.117,378.009,379.292,369.844,391.415,372.938,383.462,370.615
135,390.469,381.853,431.299,390.371,376.639,402.578,388.210,368.691,377.982,379.422,370.168,390.528,371.998,383.079,369.235
136,389.339,380.895,429.759,389.724,376.753,402.254,387.671,368.357,377.908,378.924,369.918,389.743,371.812,382.046,368.698
137,388.455,379.927,428.123,388.844,376.082,401.836,386.782,368.168,377.506,378.046,369.080,389.708,372.035,380.596,369.341
