 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
193,477.093,502.352,459.850,450.641,446.610,447.433,447.400,448.245,442.477,442.931,453.903,442.012
194,476.614,501.889,459.312,450.650,446.660,448.081,447.306,448.985,442.617,442.722,453.382,441.805
195,476.370,501.592,459.117,450.361,446.619,447.620,447.674,448.610,441.970,442.457,452.704,441.024
196,476.173,501.015,459.122,449.950,446.227,446.461,448.039,447.532,441.272,442.358,452.142,440.399
197,475.978,500.119,459.120,449.692,445.435,445.708,448.142,446.613,441.402,442.310,451.979,440.494
198,475.749,499.436,459.273,449.392,444.732,445.799,448.098,446.483,442.428,441.973,452.172,441.012
199,475.171,499.346,460.184,448.938,444.441,446.415,448.000,447.182,443.749,441.313,452.341,441.438
200,474.719,499.716,462.697,448.238,444.869,446.926,448.139,448.178,444.834,440.457,452.285,441.716
201,475.067,500.510,466.667,447.249,445.959,447.408,448.914,448.888,445.628,439.627,452.161,442.047
202,475.973,501.807,470.972,446.277,447.162,448.053,450.194,448.948,446.004,438.961,452.161,442.349
203,476.740,503.495,474.624,445.860,447.919,448.887,451.338,448.401,446.079,438.352,452.148,442.692
204,476.923,505.140,476.974,446.137,448.423,449.201,451.911,447.554,445.704,437.442,451.815,443.104
205,476.652,506.208,478.026,446.686,449.218,448.989,452.082,446.803,444.798,436.436,451.296,443.763
206,476.253,506.752,478.323,446.857,450.372,448.419,452.148,446.498,443.519,435.842,450.976,444.701
207,475.763,507.149,478.387,446.807,451.356,448.018,452.279,446.721,442.377,436.334,451.320,445.343
208,474.976,507.651,478.252,446.709,451.520,448.130,452.314,447.323,441.774,437.922,452.393,445.609
209,474.035,508.448,477.902,446.661,451.216,448.785,452.205,447.758,441.611,439.740,453.655,445.837
210,473.158,509.542,477.622,446.725,451.207,449.493,452.188,447.836,441.677,441.125,454.532,446.068
