 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
414,431.562,442.288,403.475,418.863,418.312,426.379
415,431.131,442.210,403.963,418.988,418.618,426.560
416,430.700,442.043,404.309,419.459,418.673,426.847
417,430.510,441.797,404.305,419.814,418.502,426.716
418,430.659,441.551,404.044,419.795,418.375,426.038
419,430.974,441.521,403.744,419.546,418.306,425.378
420,431.307,441.712,403.636,419.469,418.292,425.251
421,431.479,441.892,403.756,419.501,418.269,425.562
422,431.456,441.894,403.733,419.474,418.155,425.770
423,431.227,441.791,403.537,419.393,417.873,425.685
424,430.961,441.653,403.330,419.190,417.560,425.521
425,430.693,441.435,403.333,418.790,417.470,425.350
426,430.463,441.227,403.557,418.525,417.802,425.198
427,430.059,441.014,403.916,418.641,418.224,425.146
428,429.499,440.778,404.269,418.971,418.475,425.320
429,429.053,440.512,404.505,419.072,418.690,425.635
430,429.026,440.393,404.531,419.003,418.986,425.860
431,429.302,440.426,404.425,419.158,419.019,425.912
432,429.520,440.735,404.304,419.735,418.520,425.973
433,429.539,441.250,404.276,420.437,417.820,426.140
434,429.634,441.692,404.274,421.090,417.524,426.361
435,430.186,441.990,404.142,421.683,417.498,426.493
436,430.829,442.163,403.910,422.045,417.528,426.449
437,431.045,442.319,403.769,422.085,417.440,426.367
438,430.858,442.419,403.624,421.872,417.349,426.533
439,430.713,442.433,403.447,421.628,417.209,427.028
440,430.792,442.121,403.300,421.540,417.121,427.519
441,430.788,441.718,403.112,421.552,417.085,427.762
442,430.637,441.547,403.016,421.516,417.137,427.670
443,430.510,441.583,403.269,421.286,417.177,427.417
444,430.587,441.571,403.761,420.873,417.222,426.995
445,430.879,441.586,404.087,420.520,417.596,426.582
446,431.224,441.532,404.102,420.376,417.982,426.297
447,431.412,441.397,403.991,420.590,418.065,426.262
448,431.193,441.219,403.887,420.884,417.779,426.441
449,430.654,441.134,403.943,420.966,417.525,426.748
450,430.264,441.430,404.143,420.850,417.614,426.930
451,430.249,441.909,404.201,420.878,417.912,426.820
452,430.288,442.413,404.044,421.139,418.153,426.554
453,430.144,442.695,403.942,421.470,418.232,426.351
454,429.879,442.656,403.914,421.639,418.087,426.335
455,429.602,442.334,403.804,421.546,417.739,426.471
456,429.568,442.052,403.714,421.339,417.325,426.653
457,429.686,441.963,403.874,421.232,417.028,426.809
458,429.753,442.033,404.191,421.163,416.995,426.869
459,429.766,442.069,404.395,421.034,417.169,426.905
460,429.657,442.118,404.289,420.903,417.500,426.872
461,429.401,442.117,403.901,420.876,417.805,426.662
462,429.110,442.040,403.451,420.921,417.951,426.251
463,429.024,441.781,403.217,420.792,417.931,425.816
464,429.128,441.540,403.388,420.343,417.931,425.390
