 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
119,513.047,497.153,511.905,507.672,514.566,510.924,493.638,507.494,522.159,518.370,513.845,502.492,490.886,487.135,499.743,516.404,500.354
120,514.133,496.797,512.582,507.452,514.540,510.844,493.553,507.921,522.191,517.883,514.141,502.584,490.801,486.966,499.797,516.331,500.123
121,515.813,496.699,513.207,507.194,514.513,510.756,493.638,507.661,521.989,517.196,514.346,502.532,490.780,486.458,499.913,516.014,499.664
122,517.504,496.804,513.853,506.838,514.460,510.743,493.660,507.072,522.064,516.872,514.367,502.314,490.891,485.831,500.100,515.701,499.178
123,518.760,496.959,514.628,506.448,514.270,510.696,493.351,506.550,522.419,516.938,514.251,502.183,491.111,485.510,500.205,515.561,499.121
124,519.184,497.260,515.449,506.323,514.074,510.460,492.922,506.158,522.700,517.211,514.112,502.223,491.017,486.000,500.018,515.634,499.740
125,518.910,497.768,516.140,506.545,514.127,510.322,492.893,505.644,522.528,517.440,514.379,502.454,490.242,487.005,499.598,515.715,500.514
126,518.624,498.221,516.940,506.873,514.346,510.695,493.439,505.051,522.141,517.711,515.429,503.067,489.206,487.850,499.435,515.646,501.029
127,518.758,498.413,517.747,506.991,514.574,511.648,494.378,504.585,522.133,517.943,517.174,504.069,488.789,488.284,499.712,515.628,501.213
128,519.237,498.523,518.077,506.845,514.471,512.883,495.547,504.365,522.791,518.106,518.890,504.791,489.232,488.510,500.179,515.677,501.516
129,519.672,498.716,517.853,506.651,513.945,514.043,496.697,504.323,523.835,518.164,520.106,504.670,490.036,488.520,500.571,515.652,502.051
130,519.867,498.885,517.712,506.590,513.217,515.137,497.260,504.457,524.817,518.253,520.814,503.788,490.797,488.402,500.500,515.650,502.713
131,519.945,498.772,518.049,506.639,512.651,515.979,497.187,504.640,525.746,518.640,521.222,502.833,490.927,488.458,500.165,515.850,503.428
132,520.031,498.577,518.691,506.596,512.505,516.537,496.931,504.666,526.583,519.334,521.516,502.541,490.446,488.593,500.114,515.961,504.025
133,520.009,498.613,519.095,506.411,512.480,516.950,496.780,504.494,527.084,520.043,521.979,503.225,489.416,488.760,500.795,515.856,504.471
134,519.860,498.692,518.940,506.171,512.255,517.568,496.871,504.371,527.031,520.538,522.538,504.307,488.121,489.211,501.826,515.665,504.662
135,519.559,498.779,518.382,506.055,511.923,518.275,497.083,504.626,526.463,520.519,522.867,504.840,486.978,490.098,502.533,515.518,504.488
136,519.487,498.880,517.828,506.068,511.673,518.685,497.360,505.283,525.872,519.970,522.633,504.419,486.547,491.172,502.685,515.553,504.047
137,519.895,499.088,517.526,506.171,511.526,518.793,497.774,505.822,525.573,518.962,521.727,503.746,486.923,491.841,502.533,515.778,503.631
138,520.493,499.270,517.361,506.420,511.526,518.904,498.260,505.681,525.647,517.762,520.803,503.833,487.637,491.931,502.440,516.128,503.449
139,520.775,499.220,517.670,506.718,511.483,519.240,498.673,504.914,525.891,516.779,520.422,504.706,488.140,491.449,502.585,516.488,503.484
140,520.602,499.116,518.509,506.736,511.445,519.622,498.946,504.039,526.220,516.551,520.638,505.512,488.196,490.500,503.337,516.791,503.361
141,520.248,498.951,519.098,506.348,511.366,519.992,499.145,503.565,526.474,517.196,521.073,505.666,488.080,489.120,504.268,517.201,502.955
142,520.131,498.547,518.972,505.833,511.327,520.379,499.041,503.461,526.557,518.255,521.371,505.548,488.024,487.958,504.574,517.638,502.514
143,520.228,497.963,518.561,505.499,511.406,520.809,498.600,503.451,526.408,518.891,521.319,505.532,487.988,487.549,504.096,518.014,502.268
144,520.103,497.655,518.330,505.410,511.860,521.100,498.164,503.672,526.000,518.377,521.191,505.780,487.789,487.980,503.371,518.142,502.338
145,519.474,497.870,518.214,505.375,512.460,521.010,498.046,504.028,525.463,517.277,521.255,506.178,487.426,488.767,502.978,518.106,502.660
146,518.744,498.318,518.214,505.297,512.761,520.495,498.282,504.081,525.355,516.730,521.393,506.472,487.252,489.250,502.951,518.083,502.975
147,518.306,498.679,517.782,504.979,512.625,519.838,498.585,503.450,525.766,517.104,521.476,506.481,487.542,489.002,502.917,518.309,502.904
148,518.222,498.806,516.628,504.476,512.397,519.529,498.874,502.637,526.246,517.738,521.605,506.439,488.320,488.358,502.549,518.370,502.494
149,518.176,498.777,515.393,504.165,512.329,519.582,498.917,502.380,526.486,517.953,521.758,506.577,489.252,487.848,501.967,518.266,502.232
150,518.161,498.629,514.807,504.307,512.395,519.785,498.670,502.657,526.492,517.966,521.716,506.677,489.886,487.713,501.362,518.152,502.324
151,518.285,498.399,514.916,504.895,512.449,520.076,498.268,503.228,526.564,517.857,521.321,506.479,489.937,487.775,500.763,518.122,502.785
152,518.499,498.131,515.081,505.401,512.208,520.524,498.089,503.723,526.587,517.604,520.665,506.143,489.443,487.549,500.353,518.124,503.068
153,518.559,498.065,515.196,505.369,511.550,520.783,498.169,504.244,526.621,517.153,519.830,506.154,488.833,486.975,500.357,518.091,503.168
154,518.515,498.229,515.179,504.876,510.858,520.516,498.183,504.712,526.780,516.583,518.990,506.604,488.467,486.610,500.897,518.380,503.219
155,518.699,498.529,514.923,504.205,510.601,519.751,497.890,505.048,527.164,515.883,518.400,507.033,488.332,486.708,501.627,519.061,503.324
156,519.176,498.735,514.414,503.739,510.522,518.889,497.574,505.483,527.341,514.989,518.286,507.007,488.172,486.993,502.179,519.437,503.242
157,519.632,498.715,513.740,503.857,510.504,518.534,497.530,506.097,527.054,514.119,518.414,506.617,487.811,487.091,502.248,518.848,502.754
158,519.643,498.511,513.189,504.440,510.625,518.805,497.616,506.648,526.401,513.711,518.774,506.145,487.307,487.081,502.078,517.764,502.133
159,519.179,498.232,512.782,505.044,510.831,519.187,497.536,506.901,525.633,513.736,519.259,505.572,487.262,487.248,502.076,517.281,501.529
160,518.532,498.016,512.256,505.165,510.767,519.272,497.126,506.914,525.018,513.823,519.613,504.889,488.048,487.319,502.310,518.065,501.000
161,517.986,497.973,511.916,504.753,510.228,518.990,496.746,506.618,524.754,513.677,519.482,504.392,489.215,487.206,502.549,519.386,500.631
162,517.696,498.045,512.291,504.275,509.665,518.813,496.515,506.018,524.625,513.489,518.863,504.376,489.719,487.027,502.542,520.254,500.436
163,517.530,498.075,513.404,504.046,509.524,519.002,496.209,505.299,524.261,513.421,518.006,504.599,489.293,487.078,502.330,520.203,500.301
