 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
413,421.918,421.043,421.416,425.571,425.810,422.616,421.764
414,421.936,421.010,421.940,426.045,426.175,423.163,421.334
415,422.046,421.251,422.335,426.379,426.764,423.590,421.279
416,421.991,421.586,422.572,426.927,427.551,424.014,421.462
417,421.815,421.730,422.790,427.824,428.329,424.650,421.667
418,421.705,421.874,423.103,428.668,428.892,425.390,421.821
419,421.896,422.138,423.229,429.140,429.169,425.843,422.059
420,422.395,422.637,423.116,429.162,429.233,425.765,422.394
421,422.929,423.132,422.894,428.967,429.254,425.411,422.658
422,423.250,423.458,422.947,428.847,429.283,425.250,422.611
423,423.224,423.645,423.257,428.867,429.271,425.445,422.238
424,423.005,423.782,423.545,428.885,429.056,425.689,421.733
425,422.889,423.809,423.585,428.834,428.665,425.756,421.497
426,422.999,423.656,423.446,428.825,428.256,425.794,421.585
427,423.334,423.238,423.278,428.981,428.133,425.816,421.677
428,423.739,422.701,423.241,429.447,428.385,425.702,421.665
429,423.997,422.228,423.203,429.943,428.810,425.400,421.647
430,424.103,421.974,423.140,430.174,429.052,425.139,421.769
431,424.102,421.871,423.147,429.982,428.953,425.215,422.007
432,424.081,421.854,423.198,429.517,428.788,425.572,422.253
433,424.051,421.853,423.175,429.148,428.830,425.919,422.348
434,424.077,422.012,423.078,428.869,429.058,426.006,422.240
435,423.973,422.405,423.070,428.607,429.114,425.870,422.035
436,423.734,422.943,423.127,428.357,428.971,425.683,421.839
437,423.381,423.358,423.129,428.353,428.940,425.695,421.539
438,423.009,423.450,422.904,428.635,429.143,425.766,421.155
439,422.754,423.214,422.569,428.868,429.339,425.767,420.861
440,422.803,422.803,422.367,428.858,429.308,425.767,420.969
441,423.190,422.551,422.229,428.725,428.875,425.876,421.394
442,423.672,422.599,422.107,428.616,428.294,425.841,421.572
443,423.941,422.831,422.066,428.560,427.807,425.537,421.231
444,423.967,422.886,422.111,428.523,427.501,425.192,420.872
445,423.964,422.597,422.293,428.474,427.291,424.978,420.959
446,424.052,422.292,422.455,428.276,427.150,424.845,421.361
447,424.315,422.295,422.383,428.020,427.166,424.662,421.745
448,424.568,422.559,422.147,427.719,427.394,424.448,421.989
449,424.592,422.937,421.865,427.222,427.682,424.238,422.126
450,424.312,423.109,421.610,426.622,427.883,424.194,422.245
451,423.865,423.010,421.423,426.271,427.877,424.216,422.319
452,423.534,422.903,421.386,426.334,427.739,424.049,422.286
453,423.312,422.973,421.426,426.540,427.438,423.763,422.167
454,423.125,423.054,421.427,426.626,427.170,423.682,421.947
455,422.940,422.815,421.452,426.637,427.038,423.794,421.763
456,422.876,422.379,421.509,426.673,427.022,424.003,421.722
457,423.030,422.046,421.565,426.750,426.915,424.051,421.859
458,423.299,421.878,421.659,426.736,426.514,423.869,422.044
459,423.635,421.771,421.800,426.527,426.097,423.501,422.170
460,423.997,421.785,421.845,426.156,425.928,423.272,422.203
461,424.351,421.982,421.687,425.886,426.082,423.405,422.068
