 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
130,501.256,502.322,493.209,500.795,501.037,506.436,511.353,482.250,500.037,500.490,510.654,505.306,496.148,517.274,515.639,507.603,502.519,493.833,496.713,492.878,508.517
131,503.117,504.577,495.005,501.056,505.566,500.356,510.944,484.992,495.237,499.529,512.451,508.483,496.347,519.781,514.113,506.901,503.094,496.869,496.499,491.538,507.732
132,503.377,506.406,491.573,497.465,505.465,503.008,515.910,484.454,492.121,499.084,512.949,506.137,495.121,516.078,516.828,512.674,502.612,492.531,495.230,494.355,499.157
133,503.513,507.185,494.901,499.519,499.949,504.514,514.376,481.887,493.187,498.608,510.125,506.148,493.976,514.284,514.979,513.867,500.736,495.182,493.578,493.189,505.010
134,506.201,506.951,491.478,500.876,501.579,505.865,513.313,484.036,492.259,498.720,512.078,506.056,496.480,516.206,515.368,515.019,502.636,493.003,490.342,491.420,506.669
135,499.799,502.401,493.456,504.226,510.421,504.552,510.873,486.948,495.121,499.533,511.642,508.271,493.814,518.151,516.971,510.019,504.517,494.558,495.658,492.726,506.871
136,502.264,501.588,494.247,501.083,507.226,506.381,507.741,485.021,495.296,499.426,514.325,507.064,495.984,517.481,511.980,510.994,500.630,494.248,493.635,491.101,511.409
137,501.055,505.985,492.677,499.670,504.253,510.743,513.799,486.356,494.931,497.899,512.041,506.954,495.799,516.450,514.709,506.753,499.648,493.927,493.301,495.073,503.530
138,507.963,503.290,497.444,499.411,507.242,504.320,511.953,487.500,499.302,501.001,511.442,508.468,495.970,520.593,514.569,510.809,501.731,495.263,493.377,489.513,508.402
139,511.121,507.835,496.758,502.025,499.855,507.331,515.103,483.348,495.988,501.668,512.259,509.723,496.242,517.401,513.775,504.425,500.458,495.162,495.041,490.442,507.399
140,504.484,505.910,492.811,503.828,505.064,507.754,510.329,484.763,501.804,499.575,513.596,506.555,501.090,519.125,514.200,508.730,500.308,493.094,495.472,492.318,505.932
141,506.842,501.755,495.325,505.245,505.936,509.229,513.984,482.302,495.059,498.863,511.979,507.807,496.541,516.266,514.797,504.697,501.935,494.829,496.334,493.310,508.664
142,502.022,503.026,495.380,497.587,506.394,503.116,508.354,483.732,498.907,496.049,515.684,510.613,495.824,518.452,516.840,506.084,502.716,492.285,494.747,491.706,512.743
143,502.839,506.979,492.366,503.844,505.434,500.779,510.570,483.222,498.056,498.509,514.111,508.576,493.249,520.348,516.398,508.633,503.863,492.442,494.171,494.986,507.310
144,507.209,502.506,492.964,502.583,503.640,504.312,510.105,485.673,496.231,498.367,514.641,507.852,497.337,515.771,515.674,511.762,500.707,494.141,495.752,493.544,509.155
